Sp_pepid	domain_id	SourceDB	start	end	score	evalue
OSAJ_LOC_Os04g48510.1	GRF	MueRoes	75	180	202	2.3e-60
OSAJ_LOC_Os04g51190.1	GRF	MueRoes	54	154	229.3	1.4e-68
OSAJ_LOC_Os04g51190.2	GRF	MueRoes	54	154	229.3	1.4e-68
OSAJ_LOC_Os04g51190.3	GRF	MueRoes	54	154	229.3	1.4e-68
OSAJ_LOC_Os04g51320.1	trihelix	MueRoes	22	89	65.4	3.1e-19
OSAJ_LOC_Os04g56990.1	G2-like	MueRoes	246	294	72.9	1.7e-21
OSAJ_LOC_Os04g56990.2	G2-like	MueRoes	246	294	72.9	1.7e-21
OSAJ_LOC_Os04g56990.3	G2-like	MueRoes	246	294	72.9	1.7e-21
OSAJ_LOC_Os04g58680.1	NF-YB	MueRoes	24	125	6.5	1.4e-08
OSAJ_LOC_Os04g58680.1	NF-YC	MueRoes	25	112	118	4.5e-35
OSAJ_LOC_Os05g03740.1	trihelix	MueRoes	58	121	85.2	3.3e-25
OSAJ_LOC_Os01g08790.1	NF-YC	MueRoes	120	194	106.4	1.4e-31
OSAJ_LOC_Os01g13740.1	G2-like	MueRoes	220	267	131.1	5.3e-39
OSAJ_LOC_Os01g13740.2	G2-like	MueRoes	220	267	121.1	5.2e-36
OSAJ_LOC_Os05g04360.1	DNC	MueRoes	71	84	20.1	1.3e-05
OSAJ_LOC_Os05g07040.1	Alfin-like	MueRoes	205	251	118.5	3.1e-35
OSAJ_LOC_Os05g23910.1	NF-YC	MueRoes	54	127	91.6	4e-27
OSAJ_LOC_Os05g32880.1	G2-like	MueRoes	269	317	41.9	3.7e-12
OSAJ_LOC_Os05g32890.1	G2-like	MueRoes	187	228	46.1	2e-13
OSAJ_LOC_Os05g34110.1	G2-like	MueRoes	115	162	98.2	4.2e-29
OSAJ_LOC_Os05g34640.1	Alfin-like	MueRoes	205	251	119.6	1.5e-35
OSAJ_LOC_Os05g38820.1	NF-YB	MueRoes	43	130	223.2	9.6e-67
OSAJ_LOC_Os05g38820.2	NF-YB	MueRoes	43	130	223.2	9.6e-67
OSAJ_LOC_Os05g38820.3	NF-YB	MueRoes	43	130	223.2	9.6e-67
OSAJ_LOC_Os05g38820.4	NF-YB	MueRoes	43	130	220.1	8.5e-66
OSAJ_LOC_Os05g38820.5	NF-YB	MueRoes	43	130	223.2	9.6e-67
OSAJ_LOC_Os05g40960.1	G2-like	MueRoes	49	97	79.2	2.1e-23
OSAJ_LOC_Os05g41240.1	G2-like	MueRoes	50	98	66.1	1.9e-19
OSAJ_LOC_Os05g41240.2	G2-like	MueRoes	50	98	66.1	1.9e-19
OSAJ_LOC_Os05g41240.3	G2-like	MueRoes	50	98	66.1	1.9e-19
OSAJ_LOC_Os05g41450.1	NF-YC	MueRoes	10	83	122	2.8e-36
OSAJ_LOC_Os05g42290.1	ULT	MueRoes	13	111	215.1	2.6e-64
OSAJ_LOC_Os05g43950.1	VOZ	MueRoes	308	528	551.8	1.2e-165
OSAJ_LOC_Os05g48690.1	trihelix	MueRoes	41	111	96.2	1.7e-28
OSAJ_LOC_Os05g48690.2	trihelix	MueRoes	41	111	96.2	1.7e-28
OSAJ_LOC_Os05g49780.1	NF-YB	MueRoes	27	114	203.1	1.1e-60
OSAJ_LOC_Os06g02560.1	GRF	MueRoes	25	137	220.1	8.1e-66
OSAJ_LOC_Os06g02560.2	GRF	MueRoes	25	137	220.1	8.1e-66
OSAJ_LOC_Os06g02560.3	GRF	MueRoes	25	137	220.1	8.1e-66
OSAJ_LOC_Os06g08140.1	DNC	MueRoes	60	73	29.7	1.7e-08
OSAJ_LOC_Os06g08440.1	G2-like	MueRoes	222	269	121.6	3.6e-36
OSAJ_LOC_Os06g10310.1	GRF	MueRoes	12	127	224.9	3e-67
OSAJ_LOC_Os06g17480.1	NF-YB	MueRoes	36	123	191.6	3.1e-57
OSAJ_LOC_Os06g24070.1	G2-like	MueRoes	185	232	128.2	3.7e-38
OSAJ_LOC_Os06g35140.1	G2-like	MueRoes	131	179	58.7	3.1e-17
OSAJ_LOC_Os06g39600.1	DNC	MueRoes	62	75	21.8	4e-06
OSAJ_LOC_Os06g39600.2	DNC	MueRoes	6	19	21.8	4e-06
OSAJ_LOC_Os06g40710.1	G2-like	MueRoes	52	100	71.3	5.2e-21
OSAJ_LOC_Os06g43910.1	G2-like	MueRoes	191	238	100.8	7e-30
OSAJ_LOC_Os06g45410.1	G2-like	MueRoes	61	109	72	3.2e-21
OSAJ_LOC_Os06g45640.1	NF-YC	MueRoes	103	176	177.3	6.5e-53
OSAJ_LOC_Os06g45890.1	G2-like	MueRoes	22	70	69.2	2.2e-20
OSAJ_LOC_Os01g19130.1	DNC	MueRoes	64	77	17.2	7.6e-05
OSAJ_LOC_Os01g24460.1	NF-YC	MueRoes	45	118	124.2	6.3e-37
OSAJ_LOC_Os06g49040.1	G2-like	MueRoes	274	322	72.8	1.8e-21
OSAJ_LOC_Os07g02800.2	G2-like	MueRoes	233	281	71.6	4.2e-21
OSAJ_LOC_Os07g02800.3	G2-like	MueRoes	233	281	58.2	4.5e-17
OSAJ_LOC_Os07g12910.1	Alfin-like	MueRoes	190	236	119.2	2e-35
OSAJ_LOC_Os07g25710.1	G2-like	MueRoes	251	299	67.9	5.5e-20
OSAJ_LOC_Os07g25710.2	G2-like	MueRoes	251	299	67.9	5.5e-20
OSAJ_LOC_Os07g25710.3	G2-like	MueRoes	251	299	67.9	5.5e-20
OSAJ_LOC_Os07g25710.4	G2-like	MueRoes	251	299	67.9	5.5e-20
OSAJ_LOC_Os07g36130.1	NF-YC	MueRoes	28	101	8.3	5.5e-07
OSAJ_LOC_Os07g36140.1	NF-YC	MueRoes	28	101	10.7	3.3e-07
OSAJ_LOC_Os07g39800.1	HRT	MueRoes	311	340	65.4	3e-19
OSAJ_LOC_Os07g39800.1	HRT	MueRoes	430	459	22.8	5.5e-07
OSAJ_LOC_Os07g39800.1	HRT	MueRoes	539	567	23.8	4e-07
OSAJ_LOC_Os07g39800.1	HRT	MueRoes	585	614	64.2	7.1e-19
OSAJ_LOC_Os07g41580.1	NF-YB	MueRoes	27	114	219	1.8e-65
OSAJ_LOC_Os07g41740.1	Alfin-like	MueRoes	212	258	122.4	2.1e-36
OSAJ_LOC_Os07g48596.1	G2-like	MueRoes	57	105	78.8	2.8e-23
OSAJ_LOC_Os08g06370.1	G2-like	MueRoes	164	212	64.2	7.1e-19
OSAJ_LOC_Os08g07740.1	NF-YB	MueRoes	63	150	210.6	5.8e-63
OSAJ_LOC_Os08g10560.1	NF-YC	MueRoes	383	456	165.6	2.1e-49
OSAJ_LOC_Os08g25799.1	G2-like	MueRoes	39	87	68.2	4.4e-20
OSAJ_LOC_Os08g25820.1	G2-like	MueRoes	50	98	73.7	9.7e-22
OSAJ_LOC_Os08g25820.2	G2-like	MueRoes	50	98	73.7	9.7e-22
OSAJ_LOC_Os08g29500.1	CCAAT-Dr1	MueRoes	1	161	328.2	2.4e-98
OSAJ_LOC_Os08g29500.1	NF-YB	MueRoes	16	103	163.3	1e-48
OSAJ_LOC_Os08g29500.2	CCAAT-Dr1	MueRoes	1	171	313	9e-94
OSAJ_LOC_Os08g29500.2	NF-YB	MueRoes	16	113	141.6	3.6e-42
OSAJ_LOC_Os08g33050.1	G2-like	MueRoes	269	317	61.1	6e-18
OSAJ_LOC_Os08g33100.1	NF-YC	MueRoes	28	101	12.4	2.2e-07
OSAJ_LOC_Os08g33750.1	G2-like	MueRoes	25	73	62.2	2.9e-18
OSAJ_LOC_Os08g37810.1	trihelix	MueRoes	29	98	37.1	9.9e-11
OSAJ_LOC_Os08g38780.1	NF-YC	MueRoes	92	165	171.1	4.6e-51
OSAJ_LOC_Os09g12750.1	G2-like	MueRoes	38	86	67.5	7.3e-20
OSAJ_LOC_Os09g12770.1	G2-like	MueRoes	28	76	73.9	8.3e-22
OSAJ_LOC_Os09g12770.2	G2-like	MueRoes	28	76	73.9	8.3e-22
OSAJ_LOC_Os09g23200.1	G2-like	MueRoes	329	377	60.9	6.8e-18
OSAJ_LOC_Os09g30310.1	NF-YC	MueRoes	83	156	171.1	4.6e-51
OSAJ_LOC_Os09g38570.1	trihelix	MueRoes	26	103	27.5	3.4e-08
OSAJ_LOC_Os09g39490.1	NF-YB	MueRoes	36	129	123.5	1e-36
OSAJ_LOC_Os10g11580.1	NF-YC	MueRoes	54	127	118.4	3.5e-35
OSAJ_LOC_Os10g32600.1	G2-like	MueRoes	115	165	85.9	2.1e-25
OSAJ_LOC_Os10g37240.2	trihelix	MueRoes	285	348	136	1.7e-40
OSAJ_LOC_Os10g37240.3	trihelix	MueRoes	30	93	136	1.7e-40
OSAJ_LOC_Os10g37240.4	trihelix	MueRoes	549	612	136	1.7e-40
OSAJ_LOC_Os10g39540.1	DNC	MueRoes	28	41	16.2	0.00013
OSAJ_LOC_Os10g39540.4	DNC	MueRoes	68	81	16.2	0.00013
OSAJ_LOC_Os10g39550.1	G2-like	MueRoes	23	71	64.8	4.7e-19
OSAJ_LOC_Os10g41460.1	trihelix	MueRoes	53	122	51.3	5.5e-15
OSAJ_LOC_Os11g01480.1	G2-like	MueRoes	65	113	63.3	1.3e-18
OSAJ_LOC_Os01g39850.1	NF-YC	MueRoes	45	118	123.9	7.8e-37
OSAJ_LOC_Os01g42260.1	LUFS	MueRoes	12	66	126.7	1.1e-37
OSAJ_LOC_Os01g42260.2	LUFS	MueRoes	12	66	126.7	1.1e-37
OSAJ_LOC_Os01g42260.3	LUFS	MueRoes	12	66	126.7	1.1e-37
OSAJ_LOC_Os01g42260.4	LUFS	MueRoes	12	66	126.7	1.1e-37
OSAJ_LOC_Os01g42270.1	LUFS	MueRoes	11	65	117.8	5e-35
OSAJ_LOC_Os11g14010.1	Alfin-like	MueRoes	199	245	119.7	1.4e-35
OSAJ_LOC_Os11g14010.2	Alfin-like	MueRoes	117	163	119.7	1.4e-35
OSAJ_LOC_Os11g34200.1	NF-YC	MueRoes	10	83	132.3	2.3e-39
OSAJ_LOC_Os11g35030.1	GRF	MueRoes	108	198	202.9	1.3e-60
OSAJ_LOC_Os12g01490.1	G2-like	MueRoes	61	109	63.3	1.3e-18
OSAJ_LOC_Os12g25120.1	NF-YC	MueRoes	28	101	8.3	5.5e-07
OSAJ_LOC_Os12g29980.1	GRF	MueRoes	58	167	228.7	2.1e-68
OSAJ_LOC_Os12g29980.2	GRF	MueRoes	39	148	228.7	2.1e-68
OSAJ_LOC_Os12g34510.1	NF-YC	MueRoes	30	103	10.6	3.3e-07
OSAJ_LOC_Os12g39640.1	G2-like	MueRoes	252	300	73.5	1.1e-21
OSAJ_LOC_Os01g48320.1	trihelix	MueRoes	19	89	83.7	9.3e-25
OSAJ_LOC_Os01g52090.1	trihelix	MueRoes	70	137	44.1	7.9e-13
OSAJ_LOC_Os01g52090.2	trihelix	MueRoes	70	137	44.1	7.9e-13
OSAJ_LOC_Os01g54930.1	VOZ	MueRoes	130	350	568.1	1.4e-170
OSAJ_LOC_Os01g57240.1	ULT	MueRoes	16	114	222.9	1.2e-66
OSAJ_LOC_Os01g61810.1	NF-YB	MueRoes	39	126	219.9	9.3e-66
OSAJ_LOC_Os01g61810.2	NF-YB	MueRoes	39	126	219.9	9.3e-66
OSAJ_LOC_Os01g61810.3	NF-YB	MueRoes	25	112	219.9	9.3e-66
OSAJ_LOC_Os01g62660.1	G2-like	MueRoes	145	192	95.6	2.5e-28
OSAJ_LOC_Os01g66420.1	Alfin-like	MueRoes	219	265	119.4	1.7e-35
OSAJ_LOC_Os01g66420.2	Alfin-like	MueRoes	218	264	119.4	1.7e-35
OSAJ_LOC_Os01g67770.1	G2-like	MueRoes	197	244	103.4	1.1e-30
OSAJ_LOC_Os01g70230.1	trihelix	MueRoes	24	88	25.5	6e-08
OSAJ_LOC_Os01g70880.1	NF-YB	MueRoes	9	96	191.2	4.1e-57
OSAJ_LOC_Os01g70890.1	NF-YB	MueRoes	39	126	215.7	1.8e-64
OSAJ_LOC_Os01g74020.1	G2-like	MueRoes	123	170	95.2	3.2e-28
OSAJ_LOC_Os02g01380.1	trihelix	MueRoes	185	248	113.8	8.4e-34
OSAJ_LOC_Os02g04640.1	G2-like	MueRoes	270	318	74.4	6.2e-22
OSAJ_LOC_Os02g06584.2	zf-CCCH	PFAM	11	35	29.2	1.7e-05
OSAJ_LOC_Os02g06584.3	zf-CCCH	PFAM	11	35	29.2	1.7e-05
OSAJ_LOC_Os02g06584.4	zf-CCCH	PFAM	11	35	29.2	1.7e-05
OSAJ_LOC_Os02g06592.1	SNF2_N	PFAM	1	285	275.2	1.5e-79
OSAJ_LOC_Os02g06592.1	Helicase_C	PFAM	367	445	74.9	2.9e-19
OSAJ_LOC_Os02g06860.1	SRF-TF	PFAM	30	80	80.4	6.4e-21
OSAJ_LOC_Os02g06910.1	B3	PFAM	133	238	112.6	1.3e-30
OSAJ_LOC_Os02g06910.1	Auxin_resp	PFAM	260	343	191.9	1.7e-54
OSAJ_LOC_Os02g06950.1	NAM	PFAM	6	145	252.2	1.2e-72
OSAJ_LOC_Os02g07170.1	Myb_DNA-binding	PFAM	34	85	35.7	1.8e-07
OSAJ_LOC_Os02g07430.1	SRF-TF	PFAM	9	59	106.3	1e-28
OSAJ_LOC_Os02g07430.1	K-box	PFAM	71	171	73.2	9.3e-19
OSAJ_LOC_Os02g07430.2	SRF-TF	PFAM	9	59	106.3	1e-28
OSAJ_LOC_Os02g07430.2	K-box	PFAM	71	171	73.2	9.3e-19
OSAJ_LOC_Os02g07450.1	Histone	PFAM	98	171	53	1.2e-12
OSAJ_LOC_Os02g07450.1	CBFD_NFYB_HMF	PFAM	104	168	90.1	7.6e-24
OSAJ_LOC_Os02g07450.2	Histone	PFAM	98	171	53	1.2e-12
OSAJ_LOC_Os02g07450.2	CBFD_NFYB_HMF	PFAM	104	168	90.1	7.6e-24
OSAJ_LOC_Os02g07650.1	PLATZ	PFAM	20	130	259.9	5.8e-75
OSAJ_LOC_Os02g07770.1	Myb_DNA-binding	PFAM	18	69	45.7	1.8e-10
OSAJ_LOC_Os02g07780.1	SBP	PFAM	67	145	170.9	3.6e-48
OSAJ_LOC_Os02g07780.2	SBP	PFAM	67	145	170.9	3.6e-48
OSAJ_LOC_Os02g07840.1	bZIP_1	PFAM	120	180	61.3	3.7e-15
OSAJ_LOC_Os02g07840.1	bZIP_2	PFAM	120	174	46.5	1e-10
OSAJ_LOC_Os02g07840.2	bZIP_1	PFAM	119	179	61.3	3.7e-15
OSAJ_LOC_Os02g07840.2	bZIP_2	PFAM	119	173	46.5	1e-10
OSAJ_LOC_Os02g07930.1	zf-B_box	PFAM	10	56	43.5	8.2e-10
OSAJ_LOC_Os02g08070.1	SBP	PFAM	196	274	174.5	3e-49
OSAJ_LOC_Os02g08150.1	zf-B_box	PFAM	57	104	56.5	1e-13
OSAJ_LOC_Os02g08150.1	CCT	PFAM	281	325	92.3	1.7e-24
OSAJ_LOC_Os02g08310.1	Tub	PFAM	163	412	-32.6	5.7e-08
OSAJ_LOC_Os02g08400.1	Acetyltransf_1	PFAM	83	180	55.6	1.9e-13
OSAJ_LOC_Os02g08440.1	WRKY	PFAM	192	252	132.5	1.4e-36
OSAJ_LOC_Os02g08440.2	WRKY	PFAM	133	193	132.5	1.4e-36
OSAJ_LOC_Os02g08440.3	WRKY	PFAM	192	232	48.5	2.5e-11
OSAJ_LOC_Os02g08440.4	WRKY	PFAM	60	120	132.5	1.4e-36
OSAJ_LOC_Os02g08500.1	Response_reg	PFAM	31	142	101.2	3.4e-27
OSAJ_LOC_Os02g08500.1	Myb_DNA-binding	PFAM	215	265	50.4	6.8e-12
OSAJ_LOC_Os02g08510.1	zf-C2H2	PFAM	80	102	18.9	0.021
OSAJ_LOC_Os02g08544.1	KNOX1	PFAM	40	84	60.8	5.1e-15
OSAJ_LOC_Os02g08544.1	KNOX2	PFAM	94	149	83.5	7.5e-22
OSAJ_LOC_Os02g08544.1	ELK	PFAM	205	226	29.7	1.2e-05
OSAJ_LOC_Os02g08544.2	KNOX1	PFAM	40	84	60.8	5.1e-15
OSAJ_LOC_Os02g08544.2	KNOX2	PFAM	94	149	83.5	7.5e-22
OSAJ_LOC_Os02g08544.2	ELK	PFAM	205	226	29.7	1.2e-05
OSAJ_LOC_Os02g09070.1	PLATZ	PFAM	19	129	232.9	7.8e-67
OSAJ_LOC_Os02g09480.1	Myb_DNA-binding	PFAM	11	57	59.6	1.2e-14
OSAJ_LOC_Os02g09480.1	Myb_DNA-binding	PFAM	63	108	49.9	1e-11
OSAJ_LOC_Os02g09650.1	AP2	PFAM	14	65	72.7	1.3e-18
OSAJ_LOC_Os02g09830.1	bZIP_2	PFAM	70	124	34.6	4.1e-07
OSAJ_LOC_Os02g09830.1	bZIP_1	PFAM	70	130	39.3	1.5e-08
OSAJ_LOC_Os02g09910.1	PHD	PFAM	130	196	40.4	7.3e-09
OSAJ_LOC_Os02g09920.1	PHD	PFAM	110	158	60.3	7.3e-15
OSAJ_LOC_Os02g10000.1	PLATZ	PFAM	25	163	250.4	4.2e-72
OSAJ_LOC_Os02g10060.1	SWIRM	PFAM	88	180	103.2	8.7e-28
OSAJ_LOC_Os02g10060.1	Myb_DNA-binding	PFAM	265	310	38.5	2.6e-08
OSAJ_LOC_Os02g10080.1	zf-CCCH	PFAM	34	60	19.3	0.0043
OSAJ_LOC_Os02g10080.1	zf-CCCH	PFAM	100	126	29.3	1.5e-05
OSAJ_LOC_Os02g10080.1	KH_1	PFAM	172	234	49.5	1.3e-11
OSAJ_LOC_Os02g10080.1	zf-CCCH	PFAM	266	291	42	2.3e-09
OSAJ_LOC_Os02g10080.2	zf-CCCH	PFAM	31	57	29.3	1.5e-05
OSAJ_LOC_Os02g10080.2	KH_1	PFAM	103	165	49.5	1.3e-11
OSAJ_LOC_Os02g10080.2	zf-CCCH	PFAM	197	222	42	2.3e-09
OSAJ_LOC_Os02g10140.1	bZIP_2	PFAM	131	182	29	1.9e-05
OSAJ_LOC_Os02g10140.1	bZIP_1	PFAM	131	187	30.7	5.8e-06
OSAJ_LOC_Os02g10360.1	GRAS	PFAM	39	420	329.1	8.8e-96
OSAJ_LOC_Os02g10760.1	AP2	PFAM	6	57	76.6	9.1e-20
OSAJ_LOC_Os02g10840.1	FAR1	PFAM	88	175	79.3	1.4e-20
OSAJ_LOC_Os02g10840.1	MULE	PFAM	289	385	125.1	2.3e-34
OSAJ_LOC_Os02g10840.1	SWIM	PFAM	570	605	27.8	4.3e-05
OSAJ_LOC_Os02g10860.1	bZIP_2	PFAM	171	225	45	2.9e-10
OSAJ_LOC_Os02g10860.1	bZIP_1	PFAM	171	234	53.7	6.9e-13
OSAJ_LOC_Os02g10860.1	Lectin_legB	PFAM	269	359	-109.8	0.0068
OSAJ_LOC_Os02g12310.1	NAM	PFAM	12	144	144.3	3.7e-40
OSAJ_LOC_Os02g12790.1	GATA	PFAM	178	213	66.8	8.1e-17
OSAJ_LOC_Os02g12820.1	HLH	PFAM	423	472	38.3	3.1e-08
OSAJ_LOC_Os02g13310.1	POX	PFAM	240	392	13.1	4e-08
OSAJ_LOC_Os02g13310.1	Homeobox	PFAM	446	504	-1.8	0.018
OSAJ_LOC_Os02g13520.1	AUX_IAA	PFAM	39	288	70	8.9e-18
OSAJ_LOC_Os02g13670.1	HLH	PFAM	15	93	10.3	0.014
OSAJ_LOC_Os02g13710.1	AP2	PFAM	44	95	75.3	2.2e-19
OSAJ_LOC_Os02g13800.1	HSF_DNA-bind	PFAM	13	177	159.4	1.1e-44
OSAJ_LOC_Os02g13900.1	DUF822	PFAM	5	180	261.5	2e-75
OSAJ_LOC_Os02g14490.1	Myb_DNA-binding	PFAM	119	170	44.8	3.5e-10
OSAJ_LOC_Os02g14910.1	bZIP_1	PFAM	138	201	30.6	6.2e-06
OSAJ_LOC_Os02g14910.1	bZIP_2	PFAM	138	192	33.1	1.1e-06
OSAJ_LOC_Os02g15340.1	NAM	PFAM	10	142	293.7	4.1e-85
OSAJ_LOC_Os02g15350.1	zf-Dof	PFAM	40	102	124.7	3e-34
OSAJ_LOC_Os02g15760.1	HLH	PFAM	130	181	59.7	1.1e-14
OSAJ_LOC_Os02g15810.1	HMG_box	PFAM	158	225	56	1.5e-13
OSAJ_LOC_Os02g15810.1	HMG_box	PFAM	285	351	83.9	5.7e-22
OSAJ_LOC_Os02g15810.1	HMG_box	PFAM	414	482	66.6	9.1e-17
OSAJ_LOC_Os02g16140.1	FAR1	PFAM	167	257	89.2	1.4e-23
OSAJ_LOC_Os02g16240.1	FAR1	PFAM	14	106	121.1	3.7e-33
OSAJ_LOC_Os02g16240.1	MULE	PFAM	227	323	137.2	5.1e-38
OSAJ_LOC_Os02g16240.1	SWIM	PFAM	506	543	21.1	0.002
OSAJ_LOC_Os02g16240.1	Peptidase_C48	PFAM	642	848	-4.9	0.00044
OSAJ_LOC_Os02g16540.1	WRKY	PFAM	174	234	138.8	1.7e-38
OSAJ_LOC_Os02g16680.1	bZIP_2	PFAM	139	193	44.6	3.9e-10
OSAJ_LOC_Os02g16680.1	bZIP_1	PFAM	139	199	61.5	3.2e-15
OSAJ_LOC_Os02g16680.2	bZIP_2	PFAM	138	192	44.6	3.9e-10
OSAJ_LOC_Os02g16680.2	bZIP_1	PFAM	138	198	61.5	3.2e-15
OSAJ_LOC_Os02g17190.1	Myb_DNA-binding	PFAM	39	84	29.7	1.2e-05
OSAJ_LOC_Os02g17460.1	CXC	PFAM	58	98	61.3	3.6e-15
OSAJ_LOC_Os02g17460.1	CXC	PFAM	143	184	82.2	1.9e-21
OSAJ_LOC_Os02g18370.1	FAR1	PFAM	206	288	75.5	1.9e-19
OSAJ_LOC_Os02g18370.1	FAR1	PFAM	473	558	111.5	2.8e-30
OSAJ_LOC_Os02g18370.1	MULE	PFAM	678	774	108.2	2.8e-29
OSAJ_LOC_Os02g18370.1	SWIM	PFAM	961	997	20.8	0.0022
OSAJ_LOC_Os02g19420.1	Rcd1	PFAM	17	279	459.7	4.2e-135
OSAJ_LOC_Os02g19804.1	zf-CCCH	PFAM	188	214	43.7	7.2e-10
OSAJ_LOC_Os02g19804.1	zf-C3HC4	PFAM	265	302	30.5	7e-06
